time,amplitude
0.000000000000000000e+00,2.000000000000000042e-03
2.000119731800766541e-03,3.000000000000000062e-03
4.000239463601533083e-03,7.000000000000000146e-03
6.000359195402299624e-03,1.299999999999999940e-02
8.000478927203066165e-03,1.899999999999999953e-02
1.000059865900383357e-02,2.500000000000000139e-02
1.200071839080459925e-02,2.800000000000000058e-02
1.400083812260536492e-02,2.699999999999999969e-02
1.600095785440613233e-02,2.100000000000000130e-02
1.800107758620689974e-02,1.299999999999999940e-02
2.000119731800766715e-02,2.000000000000000042e-03
2.200131704980843109e-02,-8.000000000000000167e-03
2.400143678160919850e-02,-1.799999999999999864e-02
2.600155651340996590e-02,-2.599999999999999881e-02
2.800167624521072984e-02,-3.300000000000000155e-02
3.000179597701149725e-02,-4.000000000000000083e-02
3.200191570881226466e-02,-4.800000000000000100e-02
3.400203544061303207e-02,-5.600000000000000117e-02
3.600215517241379948e-02,-6.500000000000000222e-02
3.800227490421456689e-02,-7.299999999999999545e-02
4.000239463601533429e-02,-7.799999999999999989e-02
4.200251436781609476e-02,-8.100000000000000255e-02
4.400263409961686217e-02,-8.100000000000000255e-02
4.600275383141762958e-02,-7.900000000000000078e-02
4.800287356321839699e-02,-7.599999999999999811e-02
5.000299329501916440e-02,-7.499999999999999722e-02
5.200311302681993181e-02,-7.499999999999999722e-02
5.400323275862069922e-02,-7.799999999999999989e-02
5.600335249042145969e-02,-8.200000000000000344e-02
5.800347222222222709e-02,-8.699999999999999400e-02
6.000359195402299450e-02,-9.099999999999999756e-02
6.200371168582376191e-02,-9.400000000000000022e-02
6.400383141762452932e-02,-9.400000000000000022e-02
6.600395114942529673e-02,-9.199999999999999845e-02
6.800407088122606414e-02,-8.799999999999999489e-02
7.000419061302683155e-02,-8.500000000000000611e-02
7.200431034482759896e-02,-8.400000000000000522e-02
7.400443007662836636e-02,-8.500000000000000611e-02
7.600454980842913377e-02,-8.799999999999999489e-02
7.800466954022990118e-02,-9.099999999999999756e-02
8.000478927203066859e-02,-9.400000000000000022e-02
8.200490900383142212e-02,-9.500000000000000111e-02
8.400502873563218953e-02,-9.299999999999999933e-02
8.600514846743295694e-02,-8.899999999999999578e-02
8.800526819923372435e-02,-8.300000000000000433e-02
9.000538793103449176e-02,-7.799999999999999989e-02
9.200550766283525916e-02,-7.499999999999999722e-02
9.400562739463602657e-02,-7.499999999999999722e-02
9.600574712643679398e-02,-8.000000000000000167e-02
9.800586685823756139e-02,-8.899999999999999578e-02
1.000059865900383288e-01,-1.010000000000000064e-01
1.020061063218390962e-01,-1.130000000000000032e-01
1.040062260536398636e-01,-1.229999999999999982e-01
1.060063457854406310e-01,-1.300000000000000044e-01
1.080064655172413984e-01,-1.300000000000000044e-01
1.100065852490421658e-01,-1.219999999999999973e-01
1.120067049808429194e-01,-1.019999999999999934e-01
1.140068247126436868e-01,-6.900000000000000577e-02
1.160069444444444542e-01,-1.899999999999999953e-02
1.180070641762452216e-01,4.800000000000000100e-02
1.200071839080459890e-01,1.330000000000000071e-01
1.220073036398467564e-01,2.320000000000000118e-01
1.240074233716475238e-01,3.400000000000000244e-01
1.260075431034483051e-01,4.480000000000000093e-01
1.280076628352490586e-01,5.470000000000000417e-01
1.300077825670498122e-01,6.270000000000000018e-01
